Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,disVeg2,disHT2,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,dna_id,prevtags,first_action,exit_time,dummy
8,,CC,,,,,,,0,0,0,0,0,0,N,0,124,0,120,0,0,0,0,,,,9-Jun-82,100%,100%,0,0,0,0,,,,Y,120,,,,,,,,,,,,,,,120
9,,CC,,,,,,,0,0,0,0,0,0,N,0,135,0,74,0,0,0,0,,,,12-Jun-82,100%,100%,0,0,0,0,,,,N,74,,,,,,,,,,,,,,,121
10,,CC,,,,,,,0,0,0,0,0,0,N,0,93,0,28,0,0,0,0,,,,2-Jun-82,100%,100%,0,0,0,0,,,,Y,28,,,,,,,,,,,,,,,122
11,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,12-Jun-82,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,123
12,,CC,,,,,,,0,0,0,0,0,0,N,0,113,0,3,0,0,0,0,,,,2-Jun-82,100%,100%,0,0,0,0,,,,Y,3,,,,,,,,,,,,,,,124
13,,CC,,,,,,,0,0,0,0,0,0,N,0,129,0,94,0,0,0,0,,,,14-Jun-82,100%,100%,0,0,0,0,,,,N,94,,,,,,,,,,,,,,,125
14,,CC,,,,,,,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,,,,2-Jun-82,0%,0%,0,0,0,0,,,,Y,0,,,,,,,,,,,,,,,126
15,,CC,,,,,,,0,0,0,0,0,0,N,0,157,0,129,0,0,0,0,,,,15-Jun-82,100%,100%,0,0,0,0,,,,Y,129,,,,,,,,,,,,,,,127
16,,CC,,,,,,,0,0,0,0,0,0,N,0,118,0,106,0,0,0,0,,,,2-Jun-82,100%,100%,0,0,0,0,,,,Y,106,,,,,,,,,,,,,,,128
17,,CC,,,,,,,0,0,0,0,0,0,N,0,84,0,76,0,0,0,0,,,,15-Jun-82,100%,100%,0,0,0,0,,,,N,76,,,,,,,,,,,,,,,129
18,,CC,,,,,,,0,0,0,0,0,0,N,0,102,0,87,0,0,0,0,,,,15-Jun-82,100%,100%,0,0,0,0,,,,Y,87,,,,,,,,,,,,,,,130
19,,CC,,,,,,,0,0,0,0,0,0,N,0,148,0,130,0,0,0,0,,,,15-Jun-82,100%,100%,0,0,0,0,,,,N,130,,,,,,,,,,,,,,,131
