Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time
43,,CC,,,,,,,,,,,,,,,113,,96,,,,,,,,29JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
44,,CC,,,,,,,,,,,,,,,109,,100,,,,,,,,22JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
45,,CC,,,,,,,,,,,,,,,82,,0,,,,,,,,29JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
46,,CC,,,,,,,,,,,,,,,131,,131,,,,,,,,25JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
47,,CC,,,,,,,,,,,,,,,113,,13,,,,,,,,30JUN1982,,,,,,,,N,,,,,,,,,,,,,,,,,
48,,CC,,,,,,,,,,,,,,,111,,74,,,,,,,,27JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
49,,CC,,,,,,,,,,,,,,,102,,82,,,,,,,,27JUL1982,,,,,,,,N,,,,,,,,,,,,,,,,,
50,,CC,,,,,,,,,,,,,,,122,,90,,,,,,,,28JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
51,,CC,,,,,,,,,,,,,,,,,,,,,,,,,30JUL1982,,,,,,,,N,,,,,,,,,,,,,,,,,
52,,CC,,,,,,,,,,,,,,,,,,,,,,,,,02JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
53,,CC,,,,,,,,,,,,,,,93,,90,,,,,,,,03JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
54,,CC,,,,,,,,,,,,,,,115,,111,,,,,,,,04JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
55,,CC,,,,,,,,,,,,,,,109,,93,,,,,,,,04JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
56,,CC,,,,,,,,,,,,,,,145,,106,,,,,,,,05JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
57,,CC,,,,,,,,,,,,,,,118,,105,,,,,,,,06JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
58,,CC,,,,,,,,,,,,,,,140,,75,,,,,,,,08JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
59,,CC,,,,,,,,,,,,,,,144,,119,,,,,,,,09JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
60,,CC,,,,,,,,,,,,,,,87,,83,,,,,,,,11JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
61,,CC,,,,,,,,,,,,,,,118,,68,,,,,,,,12JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
62,,CC,,,,,,,,,,,,,,,140,,118,,,,,,,,12JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
63,,CC,,,,,,,,,,,,,,,105,,81,,,,,,,,14JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
64,,CC,,,,,,,,,,,,,,,99,,92,,,,,,,,15JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
65,,CC,,,,,,,,,,,,,,,114,,72,,,,,,,,16JUL1982,,,,,,,,Y,,,,,,,,,,,,,,,,,
