Nest,Observed,Species,PIT,AE1,LFF,AE2,RFF,AE3,CNT,CNN,CW,SNT,SNN,SW,Biopsy,Incubation,Rel_Eggs,Eggs_Taken,Hatched,Unhatched,Live,Dead,Pipped,Comments,time,hatchdate,date,hatchsucc,emergencesucc,disVeg,disHT,final_lat,final_long,final_access,treatment,total_eggs,orig_lat,orig_long,reloc_lat,reloc_long,reloc_access,access,orig_beach_side,reloc_beach_side,tags,returning_turtle,disHT2,disVeg2,dna_id,prevtags,first_action,exit_time,year
45,,CC,,,,,,,,,,,,,,,82.0,,0.0,,,,,,,,29-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
46,,CC,,,,,,,,,,,,,,,131.0,,131.0,,,,,,,,25-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
47,,CC,,,,,,,,,,,,,,,113.0,,13.0,,,,,,,,30-Jun-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
48,,CC,,,,,,,,,,,,,,,111.0,,74.0,,,,,,,,27-Jul-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
49,,CC,,,,,,,,,,,,,,,102.0,,82.0,,,,,,,,27-Jul-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
50,,CC,,,,,,,,,,,,,,,122.0,,90.0,,,,,,,,28-Jul-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
51,,CC,,,,,,,,,,,,,,,,,,,,,,,,,30-Jul-82,,,,,,,,N,,,,,,,,,,,,,,,,,,1982.0
52,,CC,,,,,,,,,,,,,,,,,,,,,,,,,2-Jul-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
53,,CC,,,,,,,,,,,,,,,93.0,,90.0,,,,,,,,3-Jul-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
54,,CC,,,,,,,,,,,,,,,115.0,,111.0,,,,,,,,4-Jul-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
55,,CC,,,,,,,,,,,,,,,109.0,,93.0,,,,,,,,4-Jul-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
56,,CC,,,,,,,,,,,,,,,145.0,,106.0,,,,,,,,5-Jul-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
57,,CC,,,,,,,,,,,,,,,118.0,,105.0,,,,,,,,6-Jul-82,,,,,,,,Y,,,,,,,,,,,,,,,,,,1982.0
